[9.5s-13.5s] 来,大家晚上好
[1317.7s-1318.7s] 反正我跟你们讲
[1318.7s-1319.7s] 你们先一屏空
[1319.7s-1320.7s] 先想一下
[1320.7s-1321.7s] 我明天下载一个
[1322.7s-1323.7s] 就是这里的四阶段
[1323.7s-1324.7s] 大家要注意一下
[1324.7s-1326.7s] 四阶段调整完了之后
[1326.7s-1329.7s] 四阶段调整完了之后
[1329.7s-1331.7s] 它会有两种走法
[1331.7s-1333.7s] 一种是再走一个破新高的
[1333.7s-1334.7s] 一个小的一个主声
[1334.7s-1336.7s] 这个小主声会很小
[1336.7s-1337.7s] 比我们上一个阶段的
[1337.7s-1338.7s] 一半差不多
[1339.7s-1340.7s] 能懂吗
[1340.7s-1342.7s] 就我们第一阶段的波段
[1342.7s-1343.7s] 第二阶段的波段
[1343.7s-1344.7s] 其实
[1344.7s-1345.7s] 涨幅是差不了太多的
[1346.7s-1347.7s] 如果说好的一个预期
[1347.7s-1349.7s] 五阶段会走一个
[1349.7s-1350.7s] 差不多是我们
[1350.7s-1351.7s] 一阶段三阶段
[1351.7s-1352.7s] 一半的波动
[1352.7s-1354.7s] 然后去突破前高
[1354.7s-1355.7s] 这是比较好的走法
[1355.7s-1356.7s] 不好的走法
[1356.7s-1357.7s] 在这里直接构建一个双顶
[1357.7s-1358.7s] 就直接结束了
[1358.7s-1360.7s] 这个图形是有的
[1360.7s-1361.7s] 就类比于像这里
[1362.7s-1363.7s] 类比于像这里
[1363.7s-1364.7s] 这种地方
[1365.7s-1366.7s] 能懂吗
[1366.7s-1367.7s] 这里全部都是空
[1367.7s-1368.7s] 这个阶段
[1368.7s-1369.7s] 那么这里对于
[1369.7s-1370.7s] 我们直播间的玩家
[1370.7s-1371.7s] 有两种选择
[1371.7s-1372.7s] 有两种选择
[1372.7s-1373.7s] 第一
[1373.7s-1374.7s] 我们直播间
[1374.7s-1375.7s] 有一些真正的高手
[1375.7s-1376.7s] 已经能够理解到
[1376.7s-1378.7s] 则是最重要的人
[1378.7s-1379.7s] 我的逻辑就是
[1379.7s-1380.7s] 这种阶段
[1380.7s-1382.7s] 你是都是不用做的
[1382.7s-1383.7s] 就哪怕是这里
[1383.7s-1384.7s] 你看这一个波段
[1384.7s-1385.7s] 看上去好像
[1385.7s-1386.7s] 1234567890
[1386.7s-1387.7s] 有10天的反弹
[1388.7s-1389.7s] 其实对于很多人
[1389.7s-1390.7s] 说也可以不做
[1391.7s-1392.7s] 你不一定能赚到钱
[1392.7s-1393.7s] 因为你只要去做了
[1393.7s-1394.7s] 这个波段
[1394.7s-1395.7s] 就意味着你会去做
[1395.7s-1396.7s] 你也会去做
[1397.7s-1398.7s] 但是我不会来要求你们
[1398.7s-1400.7s] 因为我知道人性改变不了
[1400.7s-1401.7s] 所以我只能说
[1401.7s-1403.7s] 我们直播间有A类
[1403.7s-1404.7s] 这种就是顶尖高手
[1404.7s-1406.7s] 对市场有极具的理解力
[1406.7s-1407.7s] 它也是节度的有耐心的人
[1407.7s-1408.7s] 其实这种所有的空
[1408.7s-1409.7s] 你都可以不参与
[1410.7s-1411.7s] 所有的空你都可以不参与
[1411.7s-1413.7s] 或者你就用一层仓位
[1413.7s-1414.7s] 随便玩玩
[1414.7s-1415.7s] 有点反感就好了
[1416.7s-1417.7s] 对吧
[1417.7s-1418.7s] 这是第一类
[1418.7s-1419.7s] 我比较欣赏的人
[1419.7s-1420.7s] 叫做A类
[1420.7s-1421.7s] 有交易能力的玩家
[1421.7s-1422.7s] 第二类就是有些人
[1422.7s-1423.7s] 真的管不住手的
[1423.7s-1424.7s] 他就没波
[1424.7s-1425.7s] 只要有反弹就想做
[1426.7s-1427.7s] 那么做的时候
[1427.7s-1428.7s] 我就给大家我管不住你
[1429.7s-1430.7s] 我只能给大家仓位
[1430.7s-1431.7s] 千万不要超过三层
[1432.7s-1433.7s] 想玩就玩一下
[1433.7s-1434.7s] 你觉得这个节点
[1434.7s-1435.7s] 算是一个阶段性底部
[1435.7s-1437.7s] 那你的仓位就不要超过三层
[1437.7s-1438.7s] 你再多再多
[1438.7s-1439.7s] 也千万别去超过五层
[1440.7s-1441.7s] 晚一点就好了
[1442.7s-1443.7s] 晚一点就好了
[1443.7s-1444.7s] 这是第二类玩家
[1444.7s-1445.7s] 就是有交易能力
[1445.7s-1446.7s] 但是真的有的时候
[1446.7s-1447.7s] 有点管不住手
[1449.7s-1450.7s] 第三类玩家
[1450.7s-1451.7s] 真的是完全管不住手的
[1452.7s-1453.7s] 完蛋了
[1453.7s-1454.7s] 我觉得你就个股模式
[1454.7s-1456.7s] 三层仓位以内玩完就好
[1456.7s-1457.7s] 还有一类完全不听话的
[1457.7s-1458.7s] 那就随便
[1459.7s-1460.7s] 我只能这么说
[1460.7s-1461.7s] A类B类C类
[1461.7s-1463.7s] D类四类同学
[1463.7s-1464.7s] 我都告诉过你们
[1464.7s-1466.7s] 未来有可能你们会受到的
[1466.7s-1467.7s] 什么伤害和拿到的什么结果
[1467.7s-1468.7s] 我也跟你们讲过
[1468.7s-1470.7s] 听不听是你们的事情
[1470.7s-1472.7s] 但是我必须要把你们归类好
[1472.7s-1476.4s] 能懂吗
[1476.4s-1477.4s] 所以这四类玩家
[1477.4s-1478.4s] 你们自己去估
[1478.4s-1480.4s] 我更欣赏第一类
[1480.4s-1481.4s] 第二类
[1481.4s-1482.4s] 如果说能把仓位
[1482.4s-1483.4s] 控制在三层以内
[1483.4s-1485.4s] 他有这个择食能力
[1485.4s-1487.4s] 去做一下这种小反抽的
[1487.4s-1488.4s] 但是仓位
[1488.4s-1490.4s] 它还是比较能够管控住的
[1490.4s-1491.4s] 这样子风险有可供的
[1491.4s-1493.4s] 第二类也算也算欣赏
[1493.4s-1495.4s] 第三类跟第四类
[1497.4s-1498.4s] 反正总体都就这样
[1498.4s-1500.4s] 但是个股模式的没关系
[1500.4s-1501.4s] 就是你做个股模式的
[1501.4s-1502.4s] 反正就是一个搏盖率
[1502.4s-1503.4s] 你仓位加下来
[1503.4s-1504.4s] 这两天你看
[1504.4s-1505.4s] 有人一直做个股模式的
[1505.4s-1506.4s] 听了我的分享以后
[1506.4s-1507.4s] 把仓位降下来
[1508.4s-1509.4s] 在这一舒服
[1509.4s-1511.4s] 前面每次都是满仓
[1512.4s-1513.4s] 他基本上把所有的标记
[1513.4s-1514.4s] 仓位都打满了
[1514.4s-1515.4s] 然后这两天
[1515.4s-1516.4s] 他做个股模式
[1516.4s-1518.4s] 总共仓位不超过三层
[1518.4s-1519.4s] 是有回测
[1519.4s-1520.4s] 但他说这点回测
[1520.4s-1521.4s] 跟他当时做的
[1521.4s-1526.2s] 一点问题都没
[1526.2s-1527.2s] 你们懂吗
[1527.2s-1529.2s] 用这种玩家我也很佩服
[1529.2s-1530.2s] 他就做个股模式
[1530.2s-1531.2s] 他前面
[1531.2s-1532.2s] 因为我们的择食系统
[1532.2s-1534.2s] 不是一直没有出现风险
[1534.2s-1535.2s] 他就一路做
[1535.2s-1536.2s] 一路基本上
[1536.2s-1537.2s] 每天都是满仓
[1537.2s-1538.2s] 只要个股标记足够多
[1538.2s-1539.2s] 他基本上每天都是满仓
[1539.2s-1540.2s] 轮动到
[1540.2s-1541.2s] 星期四
[1541.2s-1542.2s] 我提醒风险了以后
[1542.2s-1543.2s] 他立马把仓位降到三层
[1543.2s-1549.2s] 而且软件主动也给你控仓位了
[1549.2s-1551.2s] 因为他没有选出这么多标记
[1551.2s-1553.8s] 对吧
[1553.8s-1554.8s] 就这一类人我也欣赏
[1554.8s-1556.8s] 就是他能把高频模式
[1556.8s-1557.8s] 你们会发现
[1557.8s-1558.8s] 高频模式
[1558.8s-1559.8s] 当你们把仓位管理好的时候
[1559.8s-1563.5s] 你的收益率会放大很多
[1563.5s-1567.2s] 你的收益率会放大很多
[1567.2s-1568.2s] 对不对
[1568.2s-1569.2s] 所以你们自己去定义
[1569.2s-1570.2s] 你们自己去定义好
[1570.2s-1571.2s] 我不能管住你们的手
[1571.2s-1573.2s] 但是我要告诉你们
[1573.2s-1574.2s] 我要告诉你们
[1574.2s-1575.2s] 好
[1575.2s-1576.2s] 这是关于指数层面的
[1576.2s-1577.2s] 我跟你们讲明白了
[1577.2s-1578.2s] 讲明白了没有
[1578.2s-1579.2s] 这里是四阶段
[1579.2s-1580.2s] 最好的预期
[1580.2s-1581.2s] 就是四阶段
[1581.2s-1582.2s] 这里还能走个小组生了
[1582.2s-1583.2s] 走五阶段
[1583.2s-1585.2s] 这个五阶段的涨幅高度
[1585.2s-1587.2s] 大概是我们一阶段
[1587.2s-1588.2s] 或者三阶段的
[1588.2s-1590.2s] 那个一半的涨幅
[1590.2s-1591.2s] 这是第一种比较好的情况
[1591.2s-1593.2s] 我们还能再玩一下
[1593.2s-1595.2s] 这里面会有一个补涨的板块
[1595.2s-1597.2s] 来成为这个五阶段的一个小组建
[1597.2s-1599.2s] 这是比较舒服的点
[1599.2s-1601.2s] 第二种就是直接做个双头
[1601.2s-1603.2s] 开始进入正当期
[1603.2s-1604.2s] 这个正当周期
[1604.2s-1606.2s] 可能周期又会比较久
[1606.2s-1608.2s] 这是第二种就是模人行情
[1608.2s-1610.2s] 那指数这边
[1610.2s-1611.2s] 我们的则实系统
[1611.2s-1612.2s] 会有一个很明显的特征
[1612.2s-1614.2s] 就是一直会出现空
[1614.2s-1615.2s] 能明白吗
[1615.2s-1617.2s] 一直会出现空
[1617.2s-1618.2s] 那么这就是意味着
[1618.2s-1621.2s] 进入到了一个弱势正当行情
[1621.2s-1622.2s] 最难做的行情
[1622.2s-1624.2s] 最容易亏钱的行情
[1624.2s-1625.2s] 两种情况
[1625.2s-1627.2s] 现在具体是哪种情况
[1627.2s-1628.2s] 我们还不好去看
[1628.2s-1630.2s] 我们要再观察个一到两天
[1630.2s-1632.2s] 再观察个一到两天
[1632.2s-1633.2s] 好吧
[1633.2s-1635.2s] 好 这是关于我们的指数层面的
[1635.2s-1636.2s] 来
[1636.2s-1638.2s] 板块层面
[1639.2s-1640.2s] 讲板块层面
[1640.2s-1642.2s] 之前我先跟大家讲一个市场风格
[1642.2s-1644.2s] 这两天为什么
[1644.2s-1646.2s] 我让大家科技股撤退
[1646.2s-1648.2s] 里面有一个最核心的底层逻辑
[1648.2s-1649.2s] 是什么 你们知道吗
[1649.2s-1651.2s] 你们有没有发现
[1651.2s-1653.2s] 这几天市场杀什么
[1653.2s-1654.2s] 杀高位
[1654.2s-1658.1s] 大家见没有
[1658.1s-1660.1s] 市场在
[1660.1s-1663.1s] 高位股在慢慢撤退
[1663.1s-1665.1s] 市场在害怕高位了
[1665.1s-1667.1s] 所以你们会发现市场
[1667.1s-1668.1s] 现在亏钱效应
[1668.1s-1669.1s] 巨大的地方是什么
[1669.1s-1670.1s] 高位
[1670.1s-1672.1s] 我也可以很明确的告诉大家
[1672.1s-1673.1s] 不要妄图
[1673.1s-1675.1s] 几天时间就能修复高位
[1675.1s-1677.1s] 一旦这种亏钱效应释放了以后
[1677.1s-1679.1s] 是很难一下子修复的
[1679.1s-1681.1s] 所以市场风格现在切换了
[1681.1s-1683.1s] 周五开始切换
[1683.1s-1684.1s] 是最明显的
[1684.1s-1686.1s] 周四是普杀
[1686.1s-1687.1s] 就是管理高位
[1687.1s-1688.1s] 第一位补补补的
[1688.1s-1690.1s] 先把你干翻
[1690.1s-1691.1s] 因为雪崩了
[1691.1s-1693.1s] 没有一片雪花是无辜的
[1693.1s-1695.1s] 到了周五以后
[1695.1s-1697.1s] 到了周五以后
[1698.1s-1699.1s] 到了周五以后
[1699.1s-1700.1s] 你会发现一个什么现象
[1700.1s-1701.1s] 到了周五以后
[1701.1s-1702.1s] 你会发现
[1702.1s-1703.1s] 因为科技股还在杀
[1703.1s-1706.1s] 但是有一部分补掌板块
[1706.1s-1707.1s] 两大方向
[1707.1s-1710.1s] 扛跌能力非常明显
[1710.1s-1711.1s] 两大方向就是
[1711.1s-1713.1s] 我曾经送给大家的两个方向
[1713.1s-1715.1s] 第一个方向叫做什么
[1715.1s-1717.1s] 机器人
[1717.1s-1719.1s] 机器人是目前所有板块里面
[1719.1s-1720.1s] 最扛跌的
[1720.1s-1721.1s] 听清楚是补掌板块里面
[1721.1s-1722.1s] 最扛跌的
[1722.1s-1723.1s] 第二个是什么
[1723.1s-1725.1s] 我们原来的名字叫做AI
[1725.1s-1726.1s] 原材料
[1726.1s-1728.1s] 现在我给你们再下一个
[1728.1s-1729.1s] 更精准的定义
[1729.1s-1732.1s] 叫做半导体原材料
[1732.1s-1734.1s] 能懂吗
[1734.1s-1735.1s] 再给你们做一个定义
[1735.1s-1737.1s] 叫做半导体原材料
[1737.1s-1739.1s] 现在所有的趋势方向
[1739.1s-1741.1s] 最扛跌的就是这两个方向
[1741.1s-1743.1s] 机器人和半导体原材料
[1743.1s-1752.7s] 理解了吧
[1752.7s-1753.7s] 所以不要有这种
[1753.7s-1754.7s] 性存者片
[1754.7s-1755.7s] 很多人说
[1755.7s-1756.7s] 老大你选的标记
[1756.7s-1757.7s] 这两天
[1757.7s-1758.7s] 周五还有反抽的
[1758.7s-1760.7s] 那是因为我选的标记
[1760.7s-1761.7s] 但市场就是
[1761.7s-1763.7s] 赢面亏面大
[1763.7s-1764.7s] 能懂吗
[1764.7s-1765.7s] 咱没有必要
[1765.7s-1766.7s] 一定要去搞
[1766.7s-1767.7s] 搞笑话搞事情
[1767.7s-1768.7s] 那么很多人肯定
[1768.7s-1769.7s] 下面一个疑问就来了
[1769.7s-1771.7s] 老大
[1771.7s-1772.7s] 多福多
[1772.7s-1773.7s] 当然是半导体原材料
[1773.7s-1774.7s] 不然我怎么当时
[1774.7s-1775.7s] 会给你们选AI
[1775.7s-1776.7s] 多福多
[1776.7s-1777.7s] 我们是赚钱的
[1777.7s-1778.7s] 对不对
[1778.7s-1779.7s] 我们卖掉的时候
[1779.7s-1780.7s] 是一个阶段性的高点
[1780.7s-1784.0s] 多福多
[1784.0s-1787.1s] 本来就是AI原材料
[1787.1s-1788.1s] 对吧
[1788.1s-1789.1s] 对吧
[1789.1s-1790.1s] 好
[1790.1s-1792.1s] 那么很多人
[1792.1s-1794.1s] 又心中又有一个疑问了
[1794.1s-1795.1s] 反正我一讲板块
[1795.1s-1796.1s] 然后很多人就心中
[1796.1s-1799.1s] 又有开始造动了
[1799.1s-1800.1s] 老大
[1800.1s-1802.1s] 我是不是能超级机器人了
[1802.1s-1804.1s] 我能不能超级半导体材料了吗
[1804.1s-1805.1s] 纪录吧
[1805.1s-1806.1s] 又开始了
[1806.1s-1809.1s] 你想要赚到AI原
[1809.1s-1811.1s] 不是半导体原材料的钱
[1811.1s-1812.1s] 或者你想要赚到
[1812.1s-1814.1s] 比如说机器人的这一波钱
[1814.1s-1816.1s] 我们都有基于一个行情
[1816.1s-1818.1s] 大环境的一个逻辑
[1818.1s-1819.1s] 就叫做什么
[1819.1s-1823.1s] 叫做指数得有五阶段
[1823.1s-1824.1s] 能懂这个逻辑吗
[1824.1s-1827.1s] 我赚的从来都不是个股的钱
[1827.1s-1829.1s] 我最害怕的就是赚个股的钱
[1829.1s-1831.1s] 因为紧盯着一个个股去赚
[1831.1s-1833.1s] 不确定性非常高
[1833.1s-1835.1s] 其实未来我们想去把握的
[1835.1s-1837.1s] 不是赚某个标记的钱
[1837.1s-1839.1s] 什么三花的钱
[1839.1s-1840.1s] 什么多福多的钱
[1840.1s-1842.1s] 或者是再高一点维度
[1842.1s-1844.1s] 比如说你想赚半导体材料的钱
[1844.1s-1845.1s] 你想赚机器人的钱
[1845.1s-1846.1s] 不是的
[1846.1s-1847.1s] 所有的一切
[1847.1s-1848.1s] 我们想第一时间
[1848.1s-1849.1s] 想赚的钱是
[1849.1s-1850.1s] 想赚五阶段的钱
[1850.1s-1851.1s] 五阶段的钱
[1851.1s-1852.1s] 想挣的钱
[1852.1s-1854.1s] 其实有没有五阶段
[1854.1s-1855.1s] 对不对
[1855.1s-1856.1s] 有了五阶段
[1856.1s-1857.1s] 点确认了以后
[1857.1s-1858.1s] 我们再搞新一件事情
[1858.1s-1859.1s] 那么五阶段里面
[1859.1s-1861.1s] 市场最扛跌
[1861.1s-1863.1s] 最有可能走成我们的
[1863.1s-1865.1s] 五阶段的核心方向的
[1865.1s-1866.1s] 是哪个板块
[1866.1s-1867.1s] 是半导体材料
[1867.1s-1868.1s] 还是我们的机器人
[1868.1s-1869.1s] 还是两个一起
[1869.1s-1871.1s] 还是其他的
[1871.1s-1872.1s] 这是我们要去考虑的事情
[1872.1s-1873.1s] 等到这两个点
[1873.1s-1874.1s] 都考虑结束
[1874.1s-1875.1s] OK没问题
[1875.1s-1876.1s] 第一个没问题
[1876.1s-1877.1s] 第二个没问题
[1877.1s-1881.5s] 最后我们考虑的一件事情是什么
[1881.5s-1883.5s] 最后我们考虑的一件事情是什么
[1883.5s-1885.5s] 最后我们考虑的一件事情
[1885.5s-1889.9s] 就是去选哪个标的
[1889.9s-1890.9s] 能懂了吧
[1890.9s-1891.9s] 能懂了吧
[1891.9s-1892.9s] 好
[1892.9s-1893.9s] 那么至于把这个逻辑
[1893.9s-1894.9s] 给你们讲明白了以后
[1894.9s-1895.9s] 好 OK
[1895.9s-1897.9s] 那么我们这两个方向
[1897.9s-1898.9s] 确实明天要去看一下
[1898.9s-1900.9s] 因为周五逆势扛跌
[1900.9s-1901.9s] 逆势扛跌
[1901.9s-1902.9s] 如果说明天
[1902.9s-1903.9s] 这两个方向
[1903.9s-1905.9s] 依旧是市场最强的板块
[1905.9s-1906.9s] 那么我认为
[1906.9s-1907.9s] 在我们的指数
[1907.9s-1908.9s] 还没有出现
[1908.9s-1910.9s] 空的这个字的情况下面
[1910.9s-1911.9s] 在这两个方向上面
[1911.9s-1913.9s] 去配置四层仓位
[1913.9s-1915.9s] 没有问题
[1915.9s-1916.9s] 因为有一些人
[1916.9s-1918.9s] 可能仓位也没解光的
[1918.9s-1919.9s] 能听懂我的逻辑了吗
[1919.9s-1920.9s] 讲得很明白了
[1920.9s-1921.9s] 那么接下来
[1921.9s-1922.9s] 我说过了
[1922.9s-1923.9s] 所有的东西都要执行
[1923.9s-1924.9s] 到交易层面
[1924.9s-1925.9s] 我们记忆的原因是什么
[1925.9s-1926.9s] 是因为
[1926.9s-1929.9s] 现在我们的指数择拾系统
[1929.9s-1932.9s] 是不是还没有出现空
[1932.9s-1933.9s] 我们的仓位
[1933.9s-1934.9s] 是不是根据我们指数
[1934.9s-1936.9s] 择拾系统的空来的
[1936.9s-1937.9s] 因为这里一出空
[1937.9s-1938.9s] 就会产生两转一空
[1938.9s-1939.9s] 对不对
[1939.9s-1940.9s] 所以出现空
[1941.9s-1943.9s] 就证明我们不能留仓位
[1943.9s-1944.9s] 但是因为没有出现空
[1944.9s-1945.9s] 所以现在
[1945.9s-1947.9s] 我们其实是有四层仓位
[1947.9s-1949.9s] 只是浮在你的手上
[1949.9s-1950.9s] 这四层仓位
[1950.9s-1951.9s] 你去支配个股
[1951.9s-1952.9s] 是允许的
[1952.9s-1954.9s] 因为我们是站在指数
[1954.9s-1955.9s] 择拾系统的仓位
[1955.9s-1956.9s] 划理上面
[1956.9s-1957.9s] 但是如果是允许的
[1957.9s-1958.9s] 你想去布局
[1958.9s-1959.9s] 前提是什么
[1959.9s-1960.9s] 明天
[1960.9s-1961.9s] 这两个方向
[1961.9s-1963.9s] 要依旧比板块
[1963.9s-1965.9s] 比指数要更强
[1965.9s-1966.9s] 那么这两个方向
[1966.9s-1967.9s] 我们去布局
[1967.9s-1968.9s] 每个方向
[1968.9s-1969.9s] 布局个两层仓位
[1969.9s-1970.9s] 去预埋一个
[1970.9s-1971.9s] 我们叫做
[1971.9s-1973.9s] 四错五阶段的一个底仓
[1973.9s-1974.9s] 没有问题
[1974.9s-1975.9s] 但是这个底仓布了以后
[1975.9s-1977.9s] 一旦整个行情出现空
[1977.9s-1979.9s] 我们就要考虑
[1979.9s-1981.9s] 要去倾倉出局
[1982.9s-1983.9s] 能懂了吗
[1983.9s-1984.9s] 我把逻辑讲明
[1984.9s-1985.9s] 这是交易行为端
[1986.9s-1987.9s] 我们从上的所有的逻辑
[1987.9s-1988.9s] 去推倒
[1988.9s-1989.9s] 最终的目的就是
[1989.9s-1990.9s] 为了交易行为端
[1990.9s-1991.9s] 你看又是非常明确的
[1991.9s-1992.9s] 给了大家
[1992.9s-1993.9s] 方向给的很明确了
[1993.9s-1994.9s] 明天这两个方向
[1994.9s-1995.9s] 如果还是
[1995.9s-1996.9s] 依旧是整个市场
[1996.9s-1997.9s] 最亮的载的话
[1997.9s-1998.9s] 那这两个方向就是
[1998.9s-1999.9s] 最优解
[2000.9s-2001.9s] 能懂吗
[2001.9s-2002.9s] 那么再去这两个方向里面
[2002.9s-2003.9s] 去选
[2004.9s-2005.9s] 能懂吗
[2005.9s-2006.9s] 能理解了
[2009.4s-2010.4s] 对吧
[2010.4s-2011.4s] 对吧
[2011.4s-2012.4s] 好
[2012.4s-2013.4s] 这是到我们交易端了
[2013.4s-2014.4s] 那你们就能听明白了
[2014.4s-2015.4s] 所以你们有没有发现
[2015.4s-2016.4s] 做股票是
[2016.4s-2018.4s] 已经非常有意思的事情
[2018.4s-2019.4s] 我们美食美课
[2019.4s-2021.4s] 都在择市场的时机
[2021.4s-2022.4s] 美食美课
[2022.4s-2023.4s] 都在找市场
[2023.4s-2024.4s] 最核心的板块
[2024.4s-2025.4s] 美食美课
[2025.4s-2027.4s] 在找市场的主流审美
[2027.4s-2028.4s] 现在主流审美是什么
[2028.4s-2029.4s] 市场位高
[2029.4s-2030.4s] 现在市场
[2030.4s-2031.4s] 高位是在释放
[2031.4s-2032.4s] 最大的亏钱效应
[2032.4s-2033.4s] 并且这种亏钱效应
[2033.4s-2035.4s] 不可能一下子会有回转
[2035.4s-2036.4s] 所以现在告诉你们的是
[2036.4s-2038.4s] 我们要去做补涨
[2038.4s-2039.4s] 这些补涨
[2039.4s-2040.4s] 现在已经不叫补涨了
[2040.4s-2041.4s] 叫乱世英雄
[2041.4s-2043.4s] 现在因为没有主线了
[2043.4s-2045.4s] 谁都不是谁的补涨了
[2045.4s-2046.4s] 能听懂这个逻辑吗
[2046.4s-2047.4s] 之前因为有主线
[2047.4s-2048.4s] 主线很明确
[2048.4s-2049.4s] 半导体设备
[2049.4s-2050.4s] 加上成主芯片
[2050.4s-2051.4s] 是三阶段的主线
[2051.4s-2052.4s] 所以所有的板块
[2052.4s-2053.4s] 你要么就是地底
[2053.4s-2054.4s] 要么就是补涨
[2054.4s-2055.4s] 但是现在已经进入到
[2055.4s-2056.4s] 乱世的环境了
[2056.4s-2058.4s] 那就不是什么补涨的概念了
[2058.4s-2059.4s] 是大家都是公平的
[2059.4s-2060.4s] 市场没有主线
[2060.4s-2061.4s] 我也有机会
[2061.4s-2063.4s] 成为五阶段的主线
[2063.4s-2066.0s] 所以在这个节点
[2066.0s-2068.0s] 又有变化了
[2068.0s-2069.0s] 而且市场现在的风格编号
[2069.0s-2071.0s] 很明显的是市场位高
[2071.0s-2072.0s] 起低
[2072.0s-2076.0s] 资金在我低位的方向去切
[2076.0s-2077.0s] 当你把这些
[2077.0s-2078.0s] 战略定位战略
[2078.0s-2079.0s] 格局想明白了以后
[2079.0s-2080.0s] 你就终于能懂了
[2080.0s-2081.0s] 为什么在不同的节点
[2081.0s-2083.0s] 会有不同的战略规划
[2083.0s-2085.0s] 所以到了我们的行为端
[2085.0s-2086.0s] 我们干一件什么事情
[2086.0s-2087.0s] 明天如果机器人
[2087.0s-2089.0s] 跟半导体材料
[2089.0s-2090.0s] 这两个方向
[2090.0s-2091.0s] 明天如果逆时还能够强势的
[2091.0s-2092.0s] 那我们就干一件事情
[2092.0s-2093.0s] 在这个方向上面
[2093.0s-2095.0s] 去评铺两层两层
[2095.0s-2096.0s] 四层仓位
[2096.0s-2097.0s] 作为一个五阶段
[2097.0s-2098.0s] 提前打好提前量的
[2098.0s-2099.0s] 一个市场
[2099.0s-2101.0s] 哪怕亏了我们的回撤
[2101.0s-2103.0s] 也很OK
[2103.0s-2106.0s] 能听懂这个逻辑了吧
[2106.0s-2107.0s] OK
[2107.0s-2112.1s] 这样子你们就能懂了
[2112.1s-2113.1s] 这是市错仓
[2113.1s-2114.1s] 所有的阶段
[2114.1s-2116.1s] 其实很多时候都会打市错仓
[2116.1s-2117.1s] 因为市错是为了
[2117.1s-2118.1s] 确定市场
[2118.1s-2119.1s] 是否跟你的一致
[2119.1s-2120.1s] 不一致
[2120.1s-2122.1s] 我们可以随时撤退
[2122.1s-2123.1s] 低仓位亏钱
[2123.1s-2124.1s] 无所谓
[2124.1s-2125.1s] 我们重仓位
[2125.1s-2127.1s] 一定要赚钱
[2127.1s-2128.1s] 可以不买
[2128.1s-2129.1s] 当然可以
[2129.1s-2130.1s] 我刚才白讲了
[2130.1s-2131.1s] 优先级
[2131.1s-2132.1s] 你们先搞明白
[2132.1s-2133.1s] 优先级是
[2133.1s-2135.1s] 环境维度是最高的
[2135.1s-2136.1s] 我刚才已经讲过了
[2136.1s-2137.1s] A类B类C类D类
[2137.1s-2139.1s] 你要去做哪一类
[2139.1s-2140.1s] 但是我们直播间
[2140.1s-2141.1s] 独狗比较多
[2141.1s-2142.1s] 忍不
[2142.1s-2143.1s] 管不住手的人比较多
[2143.1s-2145.1s] 我宁愿帮你们背锅了
[2145.1s-2146.1s] 懂了吗
[2146.1s-2147.1s] 有些人就是
[2147.1s-2148.1s] 能力又菜
[2148.1s-2149.1s] 又管不住手
[2149.1s-2150.1s] 又不愿意背锅
[2150.1s-2151.1s] 你们不就希望我背锅吗
[2151.1s-2152.1s] 行
[2152.1s-2153.1s] 锅都我背
[2153.1s-2157.1s] 我说的最低层面的东西是什么
[2157.1s-2160.1s] 我说的最低层面的东西是什么
[2160.1s-2161.1s] 不是讲给我们直播间
[2161.1s-2162.1s] 所有人听了
[2162.1s-2163.1s] 是一类一类讲下来
[2163.1s-2165.1s] 优先级你们有没有要明白
[2165.1s-2168.1s] 环境级站在最高处
[2168.1s-2169.1s] 环境级是站在最高处的
[2169.1s-2171.1s] 我刚才早就给你们讲明白了
[2171.1s-2172.1s] 但是我不能不提醒
[2172.1s-2174.1s] 因为我如果不讲这些方向
[2174.1s-2177.1s] 我不讲现在市场的主流审美
[2177.1s-2180.1s] 有些粉丝瞎搞的他要
[2180.1s-2181.1s] 能懂吗
[2181.1s-2183.1s] 瞎搞完之后又要怪别人
[2183.1s-2185.1s] 天天满脑子都是怪别人
[2185.1s-2186.1s] 反正全世界都是错的
[2186.1s-2187.1s] 就他对的
[2187.1s-2189.1s] 如果有这种认知思维
[2189.1s-2190.1s] 怎么可能在这个市场当中
[2190.1s-2193.8s] 稳定盈利呢
[2193.8s-2194.8s] 对不对
[2194.8s-2196.8s] 有部分人觉得
[2196.8s-2197.8s] 这两个方向明天
[2197.8s-2198.8s] 共挣还不错的
[2198.8s-2199.8s] 你提前去打个提前量
[2199.8s-2201.8s] 去做个五阶段
[2201.8s-2202.8s] 指数折施系统
[2202.8s-2203.8s] 没有出现空
[2203.8s-2204.8s] 也是可以的
[2204.8s-2206.8s] 倒不是说这个方法
[2206.8s-2207.8s] 去干这件事情的人
[2207.8s-2208.8s] 是错的也是可以的
[2208.8s-2209.8s] 因为从我们的大环境的
[2209.8s-2210.8s] 指数折施系统来说
[2210.8s-2212.8s] 确实还没有出现空
[2212.8s-2213.8s] 对吧
[2213.8s-2214.8s] 对吧
[2214.8s-2215.8s] 所以就是这么回事
[2215.8s-2216.8s] 就我把逻辑链
[2216.8s-2218.8s] 全部给你们讲明白
[2218.8s-2219.8s] 市场的偏好给你们搞明白
[2219.8s-2220.8s] 好
[2220.8s-2221.8s] 最后我给你们做一个总结
