[2.3s-71.1s] 一世多 一世多红旋
[71.1s-80.1s] 反正哈 大音线跟我们又有什么关系
[81.6s-83.7s] 大音线跟我们又有什么关系
[1701.7s-1702.6s] 不是这样子说的
[1702.6s-1704.4s] 你只要到下午才知道爆亮阴线
[1704.5s-1705.7s] 你不跌破这根系
[1705.7s-1706.6s] 不跌破这里的时候
[1706.6s-1707.4s] 你哪里看得出来
[1709.3s-1711.2s] 不到这个不到这个
[1712.0s-1713.2s] 1.03分
[1713.5s-1715.5s] 甚至不到这个1.5
[1716.2s-1717.2s] 你哪里看得出来
[1717.2s-1718.0s] 你看不出来的呀
[1719.2s-1719.7s] 对吧
[1719.7s-1721.7s] 不到1.5以后其实是看不出来的呀
[1721.8s-1722.8s] 那这个就不要去
[1723.0s-1724.5s] 这个就有点过分了
[1724.7s-1725.8s] 这个就有点过分了
[1728.5s-1729.7s] 这个就叫做马后炮
[1729.7s-1730.9s] 我们不要马后炮
[1730.9s-1732.5s] 你哪怕尾盘去卖掉的
[1732.5s-1734.6s] 你也是执行了自己交易内的卖点
[1734.9s-1735.9s] 听得懂我的意思吗
[1738.2s-1739.4s] 听得懂我的意思吗
[1739.4s-1741.4s] 你哪怕是尾盘去卖的
[1741.6s-1743.3s] 你也是执行了我们
[1743.3s-1745.3s] 我们原来定的卖点
[1746.2s-1747.3s] 但是刚才那个粉丝
[1747.3s-1748.7s] 他定的是空才卖
[1748.9s-1750.8s] 那他跟卖点跟我们不一样
[1751.4s-1752.8s] 他的这里没有对错
[1754.7s-1756.9s] 你是多空线跌破卖也可以
[1757.0s-1758.9s] 这都是大家定好的卖点
[1758.9s-1759.6s] 没有关系
[1759.6s-1761.0s] 这没有绝对的对合错
[1761.1s-1763.1s] 但你会发现大家的触发时间
[1763.1s-1764.1s] 不会差太多
[1768.2s-1768.8s] 是不是
[1770.1s-1771.2s] 星星很负责
[1771.3s-1772.5s] 都通知我知道
[1774.5s-1775.1s] 对不对
[1776.6s-1777.2s] 对不对
[1777.4s-1777.9s] 好
[1779.3s-1779.9s] 那么
[1780.3s-1781.6s] 这是我们讲到的
[1783.5s-1785.3s] 我们在在这个卖点上面
[1785.3s-1786.8s] 和在在这个交易的
[1787.2s-1788.8s] 交易的确定性概率上面
[1788.8s-1789.8s] 再给你们做一个副盘
[1789.8s-1790.5s] 你们就懂了
[1790.5s-1791.7s] 因为有很多人
[1792.2s-1793.5s] 好了伤疤忘了痛
[1793.8s-1795.0s] 很多人是亏完钱
[1795.0s-1796.3s] 他不知道为什么亏
[1796.8s-1798.8s] 不停的在重复错误的动作
[1801.9s-1803.0s] 我们这一轮行情
[1803.0s-1804.7s] 就当今天我们是巨亏了
[1804.9s-1806.2s] 假设今天是巨亏的
[1806.2s-1808.3s] 就给你一个教训
[1810.7s-1811.4s] 能懂吗
[1811.7s-1813.3s] 就给你一个教训
[1815.7s-1817.4s] 但是今天没有亏钱的人
[1817.4s-1819.7s] 我希望你当做自己是巨亏的
[1820.5s-1822.1s] 我还是刚才那句话叫做
[1822.2s-1823.7s] 不要觉得我们的票
[1823.7s-1824.9s] 今天两个票加起来
[1824.9s-1826.0s] 综合是赚钱的
[1826.1s-1827.8s] 你就在这里洋洋得益
[1827.9s-1829.2s] 觉得是自己能力
[1829.7s-1830.9s] 不要这样子去想
[1831.0s-1832.5s] 你要把今天这根阴陷
[1832.5s-1834.7s] 也当做是自己自己自省的一个点
[1834.7s-1835.6s] 自省什么
[1835.9s-1838.4s] 叫做股市它存在不确定性
[1838.5s-1840.0s] 我们要去敬畏这个市场
[1840.2s-1841.6s] 我们怎么去敬畏
[1842.0s-1844.6s] 仓位管理就是对股市最大的敬畏
[1846.4s-1847.0s] 能懂吗
[1847.2s-1850.0s] 仓位管理你真实的仓位在怎么管理
[1850.6s-1851.8s] 你就是对股市的敬畏
[1851.8s-1854.4s] 这一次仓位控制在六层仓位以内的人
[1854.9s-1856.0s] 你就是对股市在敬畏
[1856.0s-1857.8s] 那你为什么那四层仓位没推呢
[1857.9s-1859.8s] 因为你知道五阶段的风险
[1860.2s-1862.0s] 系数比一阶段主神浪
[1862.0s-1863.8s] 三阶段主神浪的时候要大得多
[1864.2s-1866.3s] 你知道这里市场有可能存在
[1866.3s-1866.9s] 不确定性
[1866.9s-1869.1s] 所以你有用一个仓位管理的动作
[1869.4s-1870.4s] 来去敬畏市场
[1871.1s-1872.6s] 我跟你们说交易员
[1873.1s-1874.5s] 所有的职业交易员
[1874.9s-1877.3s] 我们说来说去说要敬畏这个市场
[1877.4s-1878.6s] 市场是概率性的
[1878.8s-1880.5s] 真正落地到行为上面的
[1880.5s-1882.4s] 只有一个动作就是管理仓位
[1883.6s-1885.0s] 像这几天在满仓的人
[1885.0s-1887.2s] 他根本就是不关心的
[1890.3s-1891.4s] 赌徒你们懂吗
[1892.7s-1893.7s] 赌徒你们懂吗
[1894.2s-1895.2s] 贪婪的赌徒
[1896.3s-1898.8s] 他是不去关心这个市场节点的
[1899.2s-1900.9s] 他是不去关心这个阶段
[1900.9s-1902.4s] 赚钱难度是否增加的
[1902.5s-1905.7s] 他不管他每天满脑子都在幻想的赚钱
[1906.0s-1908.1s] 赚钱赚钱赚钱
[1908.2s-1908.7s] 赚钱
[1912.2s-1913.5s] 明天反弹吗
[1913.5s-1914.5s] 明天反不反弹
[1914.5s-1915.4s] 已经不重要了
[1916.0s-1917.0s] 已经不重要了
[1917.3s-1920.0s] 但是我们手上这两个方向的
[1920.1s-1921.5s] 明天反弹概率到
[1925.9s-1926.4s] 好
[1926.5s-1928.2s] 接下来来给你们讲明天
[1928.8s-1931.4s] 先把今天昨天前天的直播
[1931.4s-1932.6s] 先去理一下
[1934.9s-1937.0s] 退潮了就知道谁是高手了
[1939.6s-1941.6s] 退潮了就知道谁是高手了
[1943.0s-1943.7s] 对不对
[1946.7s-1949.3s] 是不是好退潮了
[1949.3s-1950.7s] 才能看出来谁是高手来
[1950.7s-1952.9s] 那么接下来我们来讲今天的盘面
[1953.1s-1955.0s] 付盘我就给你们付到这里
[1955.3s-1956.1s] 付到这里
[1956.3s-1958.3s] 有些人就是没办法的
[1958.3s-1959.9s] 就是股市这个东西你自己
[1960.6s-1962.0s] 人交人是交不会的
[1962.0s-1962.9s] 是交人
[1963.6s-1965.3s] 才有机会把你交贿
[1966.1s-1967.1s] 能听懂吗
[1967.3s-1969.7s] 人交人是交不会的
[1970.3s-1973.3s] 是交人才能把你交贿
[1973.7s-1975.7s] 所以有些东西无论我在直播间
[1975.7s-1977.1s] 怎么提前去强调
[1977.5s-1978.9s] 不听的人就是不听的
[1978.9s-1980.2s] 听的人就是听的
[1981.0s-1981.8s] 你们去看
[1982.4s-1983.3s] 赚钱跟亏钱
[1983.3s-1985.3s] 今天我们直播间80%的人
[1985.3s-1986.3s] 肯定都是赚钱的
[1987.5s-1988.8s] 因为已经乖了
[1989.1s-1991.5s] 因为他们已经认清楚自己的能力边界了
[1993.1s-1993.8s] 能懂吗
[1994.5s-1994.8s] 好
[1994.8s-1996.2s] 来我们来讲明天来
[1997.9s-1999.1s] 其他话我就不跟你们闹了
[1999.1s-2000.4s] 因为今天内容太多了
[2000.8s-2002.9s] 所以后面再慢慢给你们补认知
[2003.8s-2005.0s] 就后面再给你们补认知
[2005.0s-2007.8s] 就是今天反正我们直播间
[2009.0s-2011.2s] 就是我们的逻辑是什么
[2011.2s-2013.7s] 就是我们今天赚钱的人千万不要飘
[2013.7s-2014.8s] 外面是亏麻了
[2015.4s-2016.3s] 你不要飘
[2017.4s-2018.0s] 好吧
[2018.0s-2019.6s] 你要感谢
[2020.1s-2021.5s] 感谢这一轮行情
[2021.5s-2022.4s] 我们舒舒服服
[2022.4s-2024.1s] 我们真的叫做安全离场
[2025.0s-2026.3s] 哪怕五阶段
[2026.4s-2027.9s] 他们要的还是赚钱的
[2029.9s-2030.9s] 哪怕五阶段
[2030.9s-2032.4s] 他们要的还是赚钱的
[2033.2s-2033.9s] 是不是
[2034.3s-2034.9s] 好来
[2035.6s-2037.2s] 我们先来讲指数则实系统
[2037.2s-2039.1s] 这里我再讲一件事情
[2039.3s-2041.6s] 我已经讲了至少二十病
[2043.1s-2045.2s] 下次谁再让我重复这个问题
[2045.7s-2049.4s] 我保证把它拉到脉上来骂五分钟
[2050.8s-2054.0s] 指数则实系统只有在2.57分的时候
[2054.0s-2055.6s] 你才能去看结果
[2057.1s-2059.6s] 如果你想去大概率去推结我
[2059.6s-2060.8s] 那你就要有能力
[2061.0s-2062.9s] 去推测收盘价格成交量
[2064.1s-2065.7s] 而在盘中的过程当中
[2065.7s-2066.9s] 所有的指数则实系统
[2066.9s-2067.8s] 显示空也好
[2067.8s-2068.3s] 多也好
[2068.3s-2068.6s] 转也好
[2068.6s-2069.6s] 根本就没有意义的
[2075.5s-2076.0s] 是不是
[2076.5s-2077.5s] 我讲了多少遍
[2077.9s-2079.3s] 再有人问我这个问题
[2079.3s-2081.9s] 我保证把它拉上来骂三分钟
[2085.0s-2085.7s] ok了吗
[2086.3s-2086.7s] 好
[2087.5s-2088.9s] 来那么我们来聊
[2090.0s-2090.6s] 节点
[2090.8s-2093.0s] 那么三阶段这里拉了一根大阴线
[2093.0s-2094.3s] 首先我可以告诉大家
[2094.3s-2095.8s] 这一轮主声浪结束了
[2098.8s-2100.5s] 这一轮完美的主声浪
[2101.2s-2101.9s] 看这里来
[2102.7s-2106.4s] 从我们的4月8号市场进入到主声
[2106.8s-2108.6s] 到今天这个节点
[2108.9s-2111.3s] 这一轮主声浪正式结束
[2112.9s-2116.5s] 市场正式进入到落实震荡行情
[2118.2s-2120.1s] 昨天也有人问过我说
[2120.3s-2123.6s] 五阶段有没有可能后面再走一个七阶段
[2124.3s-2125.6s] 我给你们讲的原话是什么
[2125.6s-2126.2s] 没有的
[2128.1s-2128.7s] 还记得吗
[2128.7s-2130.0s] 有一个粉丝问了这个问题
[2130.0s-2131.9s] 他说五阶段走完六阶段调整
[2131.9s-2133.3s] 是不是还能走个七阶段
[2133.3s-2134.5s] 我跟你们说没有的
[2134.5s-2135.6s] 没有这回事
[2136.0s-2136.8s] 没有这回事
[2136.8s-2138.6s] 那么市场现在的定义非常简单
[2138.6s-2141.4s] 正式进入到落实震荡
[2141.4s-2142.4s] 什么叫落实震荡
[2142.4s-2143.1s] 来看这里
[2144.9s-2147.2s] 这种阶段就是落实震荡
[2147.8s-2148.8s] 这种阶段
[2149.8s-2151.1s] 也是落实震荡
[2151.4s-2152.4s] 这种阶段
[2154.3s-2155.8s] 这种阶段也是落实震荡
[2157.7s-2158.7s] 先给你们有个概念
[2158.7s-2159.9s] 不然很多人不明白
[2159.9s-2161.1s] 什么叫落实震荡
[2161.1s-2162.0s] 给你们看过了
[2162.4s-2163.6s] 自己去拉到前面去
[2164.4s-2168.4s] 现在正式进入落实震荡
[2169.1s-2171.0s] 这一轮主升行情
[2171.6s-2172.2s] 结束了
[2176.3s-2178.2s] 这一轮主升行情结束了
[2178.7s-2181.0s] 这一轮AI硬科技的
[2181.0s-2182.0s] 这一轮暴力
[2182.0s-2183.5s] 让大家赚到钱的行情
[2183.5s-2184.6s] 终于可以休息了
[2185.0s-2187.2s] 这就是为什么我们在
[2187.6s-2189.4s] 前面这根阴线的时候
[2189.4s-2190.6s] 我就告诉过大家
[2190.7s-2193.0s] 我们不玩前面长得特别好的标的
[2193.0s-2194.0s] 还记得这句话吗
[2195.2s-2196.5s] 这句话的含金量
[2196.7s-2199.1s] 在今天为止还在不停的上升
[2199.6s-2200.3s] 叫做什么
[2200.5s-2202.2s] 在这个阴线前面这个阴线
[2202.2s-2203.3s] 这个阴线还记得吧
[2203.6s-2205.0s] 我们有一个规避的地方
[2205.0s-2206.4s] 亏钱交易大的地方在哪里
[2206.6s-2209.4s] 我说的是AI硬科技里面原来长得好的标的
[2209.8s-2210.7s] 亏钱交易集中在这里
[2210.7s-2212.1s] 不可能一下子修复的
[2215.0s-2215.7s] 还记得吗
[2216.0s-2216.6s] 好
[2217.0s-2219.6s] 那么这是之前所有的逻辑
[2219.6s-2220.9s] 在今天这一刻
[2221.0s-2224.0s] 你们会深刻的感受到被验证
[2227.4s-2228.1s] 被验证
[2228.1s-2228.3s] 好
[2228.3s-2230.3s] 现在市场进入到了落实震荡
[2230.3s-2231.2s] 能听懂了吗
[2231.6s-2232.4s] 什么叫落实震荡
[2232.4s-2234.6s] 刚才给你们框过了
[2234.7s-2235.8s] 很多人应该玩过
[2235.8s-2236.6s] 尤其是老粉
[2236.6s-2239.2s] 经历过三月份那种垃圾行情
[2239.7s-2241.6s] 有没有可能单边下跌阶段
[2241.6s-2242.7s] 目前判断不出来
[2242.7s-2243.8s] 我认为概率不大
[2245.7s-2246.6s] 但是调整力度
[2246.6s-2247.8s] 我跟你们讲过五阶
[2248.2s-2249.9s] 其实这个又跟你们提前讲过
[2250.6s-2252.3s] 我是昨天讲的还是前天讲的
[2252.5s-2253.0s] 我忘了
[2253.0s-2254.3s] 要么就是昨天的直播要钱
[2254.3s-2256.1s] 我跟你们讲过五阶段的调整
[2260.1s-2261.3s] 我们是不可估量的
[2261.3s-2262.1s] 还记得吗
[2265.0s-2265.6s] 还记得吗
[2265.6s-2266.9s] 我说五阶段的调整
[2266.9s-2268.6s] 有可能会非常的凶惨
[2269.7s-2271.8s] 因为这是一轮主声行情的结束
[2271.8s-2272.8s] 是昨天讲的是吧
[2272.8s-2273.6s] 那就是昨天讲的
[2273.6s-2275.0s] 我也忘记的是昨天直播
[2275.0s-2275.8s] 还前天的直播
[2276.1s-2277.8s] 所有的东西都是跟你们讲过的
[2277.9s-2279.8s] 只是很多人当耳边风而已
[2280.8s-2281.8s] 当耳边风而已
[2283.0s-2283.7s] 落实震荡
[2283.7s-2285.0s] 软件各股模式很强大
[2285.8s-2286.3s] 对
[2286.6s-2288.7s] 但是单边下跌都不能做
[2289.2s-2290.3s] 是昨天讲的好
[2291.6s-2292.2s] 来
[2292.8s-2294.4s] 这个定义都听懂了
[2294.4s-2294.7s] 好
[2294.7s-2296.2s] 接下来我给你们烙板块
[2296.2s-2297.3s] 你们心中
[2298.0s-2299.4s] 很多的问题
[2300.7s-2302.5s] 你们心里面那点小久久
[2302.5s-2303.7s] 我都知道的很
[2304.4s-2305.3s] 都知道的很
[2305.7s-2307.3s] 那么这种弱势震荡行情
[2307.3s-2309.2s] 我给大家的建议是非常简单的
[2309.2s-2309.8s] 第一
[2311.1s-2311.9s] 能空操的人
[2311.9s-2313.1s] 当然空操就完事了
[2313.1s-2314.6s] 接下来其实跟你没关系
[2315.1s-2315.7s] 第二
[2316.4s-2317.9s] 如果实在管不住手
[2318.7s-2319.7s] 三层仓位以内
[2319.7s-2321.0s] 最好两层仓位以内
[2321.1s-2322.5s] 你玩完个股模式
[2324.7s-2325.3s] 对吧
[2326.2s-2327.3s] 就玩完就好了
[2327.3s-2329.2s] 你反正哪怕回撤一点
[2329.2s-2330.0s] 你也认赔
[2332.7s-2333.3s] 对不对
[2333.5s-2334.5s] 你也认赔
[2334.9s-2335.3s] 好
[2335.3s-2335.9s] 这是
[2337.2s-2338.1s] 第二种防守
[2338.1s-2339.5s] 第三种赌徒我不管
[2340.0s-2342.5s] 你喜欢在这种行情里面去博弈的
[2342.5s-2343.4s] 那赌徒我不管
[2343.4s-2344.9s] 赌徒反正你亏钱
[2344.9s-2345.8s] 你自己认就行
[2346.5s-2347.4s] 这个三类人
[2347.4s-2348.8s] 我不去重复了
[2349.3s-2349.8s] 那么
[2350.5s-2352.3s] 来接下来我们来聊一下
[2353.2s-2353.8s] 我穿越了
[2353.8s-2355.3s] 仿佛回到了一个半月前
[2355.3s-2355.7s] 来
[2356.0s-2357.7s] 那么接下来我们来聊一下板块
[2357.7s-2359.1s] 我觉得板块比较有意思
[2364.9s-2366.0s] 我们来看一下板块
[2371.9s-2372.9s] 我们来看一下板块
[2374.4s-2376.8s] 很多人都在关心明天
[2377.3s-2378.9s] 是不是你们很关心明天
[2379.1s-2380.9s] 明天市场是不是反弹
[2380.9s-2382.2s] 明天市场是不是怎么样
[2382.5s-2383.7s] 首先我告诉大家
[2384.4s-2386.0s] 首先我告诉大家反弹不反弹
[2386.0s-2387.3s] 跟你真的有关系吗
[2387.3s-2388.4s] 关系不是特别大
[2390.3s-2392.1s] 明天反弹只看这几个方向
[2392.1s-2392.7s] 首先
[2393.5s-2395.4s] 今天对于三花同学来说
[2396.6s-2397.8s] 倾仓的人也好
[2397.9s-2399.6s] 三花跟我们手上的两个字
[2399.6s-2400.3s] 倾仓的人也好
[2400.3s-2401.4s] 没有倾仓的人也好
[2401.4s-2403.2s] 首先倾仓的人是对的
[2405.2s-2406.2s] 没有任何问题
[2406.2s-2408.1s] 执行了交易模式内的
[2408.3s-2409.8s] 就是我们原来定好的卖点
[2409.8s-2410.6s] 没有毛病
[2410.7s-2411.8s] 没有走的人
[2412.6s-2413.7s] 我不能说你对不对
[2413.7s-2415.2s] 我不知道你当时定的卖点是什么
[2415.2s-2416.6s] 可能有些人定的卖点
[2416.8s-2419.7s] 是根据5日线10日线来的
[2420.2s-2421.6s] 如果你没有触及没关系
[2421.6s-2422.7s] 那我就统一讲
[2422.8s-2423.9s] 从我的视角来说
[2423.9s-2425.3s] 我觉得机器人没走完
[2430.1s-2432.3s] 因为是放门口
[2433.7s-2435.2s] 因为市场行情
[2435.5s-2436.7s] 到这个节点
[2436.8s-2438.1s] 今天逆势扛跌
[2438.1s-2439.7s] 并且在这一个阶段
[2440.3s-2441.2s] 在这一个阶段
[2441.2s-2442.9s] 你们会发现AI科技调整
[2442.9s-2443.7s] 我跟你们讲
[2444.8s-2446.1s] AI科技调整
[2446.1s-2447.1s] 我跟你们讲过
[2454.7s-2455.2s] 什么
[2457.7s-2458.6s] 有个那个
[2459.2s-2461.2s] 是那个等一下我看一下
[2462.4s-2463.8s] 725670
[2465.7s-2466.4s] 哎不对不对
[2466.4s-2467.0s] 我看
[2484.3s-2484.5s] 好
[2484.5s-2485.2s] ok 我们继续讲
[2485.3s-2486.0s] 我们继续讲
[2487.0s-2488.8s] 谈到这两个机器人这个板块
[2489.1s-2490.1s] 你们会发现
[2490.4s-2491.5s] 你们会发现
[2495.1s-2497.6s] 我选方向牛逼吗
[2499.6s-2501.4s] 现在大家还服气吗
[2504.8s-2506.9s] 在这个阶段坚定不移的
[2506.9s-2508.3s] 每天都在跟大家强调
[2508.3s-2511.3s] 机器人是AI科技逃生以后
[2512.8s-2513.8s] 结束以后
[2514.9s-2517.1s] 受市场资金最亲赖的方向
[2517.2s-2518.3s] 事实也证明
[2518.7s-2520.3s] 哪怕今天指数暴跌
[2520.9s-2523.1s] 机器人也是承接最好的方向
[2524.8s-2526.9s] 我认为机器人这里还没有结束
[2527.9s-2530.4s] 从我的视角来说机器人没有结束
[2532.8s-2533.8s] 但是仓位
[2534.2s-2535.2s] 是要降下来
[2535.2s-2535.8s] 这没有毛病
[2535.8s-2537.3s] 我说了三层仓位以内
[2538.6s-2539.6s] 三层仓位以内
[2539.6s-2541.2s] 我觉得没有什么太大的问题
[2542.1s-2544.3s] 没有什么太大的问题的逻辑是什么事
[2544.3s-2545.6s] 除非你是在机器人里面
[2545.6s-2546.3s] 最核心的标定
[2546.3s-2549.8s] 你的卖点是根据机器人的个股
[2550.8s-2551.9s] 比如说三花是跌破
[2551.9s-2552.6s] 哪个位置
[2552.6s-2553.3s] 你才会去走的
[2553.3s-2554.3s] 那你没到卖点
[2554.3s-2555.4s] 那这个没话说
[2555.8s-2556.8s] 这是你提前定好的
[2556.8s-2558.2s] 但你不是零盘区的
[2559.1s-2560.2s] 零盘区的洞
[2560.2s-2561.9s] 所以我认为机器人这里没有结束
[2561.9s-2563.3s] AI科技的调整
[2563.6s-2565.8s] 今天机器人板块也随之跳水
[2565.8s-2566.8s] 这是没办法的
[2566.8s-2567.4s] 雪崩了没有
[2567.4s-2568.2s] 一片雪花是
[2568.2s-2570.8s] 我觉得今天有可能错杀了两个方向
[2571.9s-2574.6s] 今天有可能错杀了两个方向
[2574.9s-2576.7s] 第一个方向是机器人
[2576.9s-2579.9s] 明天我们看机器人会不会成为
[2580.1s-2582.1s] 结构性行情里面的结构性行情
[2582.1s-2583.6s] 大家的聚焦点
[2583.8s-2586.3s] 就是AI科技里面的资金出来了
[2586.3s-2588.6s] 大家只能回流到机器人
[2589.1s-2590.2s] 所以这是一个方向
[2590.2s-2590.8s] 第二个方向
[2590.8s-2592.2s] 我觉得今天有可能被错杀的点
[2592.2s-2594.2s] 就是今天我发的朋友圈的这个地方
[2595.6s-2596.3s] 玻璃机板
[2598.4s-2599.2s] 玻璃机板
[2600.9s-2602.6s] 今天不是指数抱垂
[2602.6s-2604.7s] 京东方A不可能放那么多量
[2608.3s-2610.8s] 京东方A不可能放那么多量
[2611.1s-2614.5s] 所以有可能有很大的概率
[2614.5s-2616.6s] 就是玻璃机板这边也是被错杀的
[2617.0s-2618.7s] 但是玻璃机板跟机器人
[2618.7s-2620.4s] 有一个质的区别来
[2621.3s-2622.2s] 很重要的一点
[2622.6s-2626.0s] 玻璃机板跟机器人有一个质的区别
[2626.0s-2627.4s] 你们知道质的区别是什么吗
[2627.6s-2629.1s] 玻璃机板是超短
[2630.6s-2631.2s] 能懂吗
[2631.2s-2633.6s] 就是录一枪你得走的机器人不是
[2633.9s-2635.6s] 机器人是作为
[2636.8s-2639.7s] 机器人是作为我们整个市场
[2639.8s-2640.9s] AI资金
[2640.9s-2643.1s] AI硬科技的资金撤离
[2643.7s-2645.9s] 逃出来以后去做的一个补掌
[2648.3s-2650.1s] 逃出来之后去做的一个补掌
[2651.7s-2653.1s] 这个首先要搞明白
[2653.2s-2654.8s] 所以玻璃机板这种
[2654.8s-2657.6s] 只能说是短线打一枪走人的
[2658.6s-2660.1s] 短线打一枪走人的
[2660.1s-2661.8s] 今天有可能是被错杀的
[2661.9s-2663.1s] 我的视角来看
[2663.1s-2664.8s] 这两个方向今天最容易被错杀
[2666.2s-2668.2s] 还有一个方向今天有可能被错杀
[2668.2s-2670.6s] 三大方向超短
[2672.4s-2673.8s] 对持续性的区别
[2674.1s-2676.3s] 我认为机器人还是能走一段时间
[2676.8s-2678.2s] 但是也是刀口填写
[2678.7s-2680.6s] 因为这里刚才有一个粉丝点到一点
[2680.6s-2682.1s] 会不会指数会A杀
[2682.3s-2683.8s] 因为这里我有一个主观判断
[2683.8s-2684.9s] 我说大概率不会
[2685.2s-2686.8s] 基于这个主观判断上面
[2686.8s-2688.9s] 才会对机器人说有一定的持续性
[2689.1s-2690.1s] 如果是A杀
[2690.1s-2692.3s] 那管你机器人
[2692.3s-2693.7s] 机马人都没用
[2694.1s-2695.8s] 对吧
[2695.8s-2696.9s] 如果指数A杀
[2696.9s-2698.8s] 那谁什么板块都没用
[2699.2s-2700.1s] 什么板块都没
[2700.1s-2701.7s] 所以今天的视角来说
[2701.7s-2702.3s] 你去看
[2702.8s-2704.8s] 只有三大方向有可能被错杀
[2704.8s-2706.1s] 要看明天的修复力度
[2706.1s-2709.3s] 如果明天这三个方向不是马上加强的
[2709.4s-2710.3s] 那就是补谍
[2711.3s-2712.8s] 那就不是错杀
[2712.8s-2713.8s] 那就会补谍
[2716.9s-2717.7s] 能懂吗
[2718.1s-2718.7s] 能懂吗
[2718.7s-2720.7s] 所以三大方向我再强调一遍
[2720.7s-2722.2s] 玻璃机板是纯超短
[2722.2s-2723.9s] 是因为一则消息刺激的
[2723.9s-2724.8s] 今天指数暴跌
[2724.8s-2727.1s] 所以京东方A才会让大部分人买报
[2727.5s-2729.2s] 你去顶板的人是买不到的
[2729.2s-2729.8s] 我知道
[2729.8s-2732.5s] 因为今天释放的成交量有50个亿
[2732.5s-2733.3s] 还是48个亿
[2733.3s-2733.9s] 我忘了
[2734.5s-2735.8s] 所以今天很多人
[2735.8s-2736.8s] 京东方排到的人
[2736.8s-2737.9s] 明天应该是有溢价的
[2737.9s-2739.2s] 这个标记应该没问题
[2739.7s-2741.1s] 这个标记肯定没问题
[2741.2s-2741.6s] 好
[2741.6s-2742.4s] 有可能被错杀
[2742.4s-2744.1s] 明天看这个板块是否能修复
[2744.1s-2745.0s] 如果修复不了
[2745.0s-2746.1s] 那也就结束了
[2746.8s-2747.6s] 也就结束了
[2747.9s-2748.1s] 好
[2748.1s-2749.0s] 这是第一个
[2749.0s-2751.2s] 第二个机器人
[2751.2s-2756.0s] 这是AI的资金出来
[2756.2s-2758.4s] 大家过去
[2759.5s-2760.0s] 能懂吗
[2760.0s-2762.7s] 大家过去去做一个市场的承接
[2762.7s-2765.2s] 所以机器人这边还有一些资金在折腾
[2765.8s-2766.5s] 在折腾
[2768.6s-2771.0s] 这个方向我觉得只要指数不A3
[2771.0s-2773.7s] 这个方向是具备一定的持续性
[2773.7s-2774.8s] 但是你们不用想着
[2774.9s-2776.3s] 跟前面的AI一样走着
[2776.7s-2777.7s] 风声水起风功
[2778.2s-2779.4s] 弱势震荡里面
[2779.6s-2782.2s] 哪怕这个板块有持续性
[2782.4s-2783.4s] 它也是什么
[2784.5s-2786.0s] 进二退一的走法
[2786.5s-2788.6s] 长个两天休息个几天
[2788.6s-2790.3s] 长个三天休息个几天
[2790.3s-2791.7s] 就是那种很魔人的
[2791.9s-2792.6s] 能懂吗
[2793.4s-2795.4s] 跟前面那种你就不用去幻想了
[2795.4s-2797.0s] 前面组绅浪已经结束了
[2797.0s-2797.7s] 我跟你们讲过了
[2797.7s-2799.2s] 整个五阶段走完
[2799.4s-2801.1s] 这么大一波组绅浪行
[2801.2s-2801.8s] 结束了
[2804.3s-2804.9s] 结束了
[2804.9s-2806.4s] 所以弱势震荡里面
[2806.4s-2807.7s] 这个板块有持续性
[2807.7s-2809.9s] 它也是那种非常魔人
[2810.3s-2811.1s] 非常纠结
[2811.1s-2812.7s] 你们看三花的图形就知道了
[2814.0s-2815.3s] 你们看三花的图形吗
[2816.8s-2817.5s] 这死样子
[2817.5s-2817.9s] 你看
[2818.7s-2819.8s] 今天是破心膏的
[2819.8s-2821.4s] 但这是不是死鬼
[2823.1s-2824.5s] 用女生的一句话说
[2824.5s-2825.4s] 这死样子
[2825.4s-2827.0s] 是不是你要叫她去死鬼
[2827.6s-2829.8s] 在这里面的人是真难受啊
[2830.6s-2831.4s] 难不难受
[2833.2s-2834.1s] 难不难受
[2836.9s-2838.5s] 是不是一个死鬼的样子
[2841.3s-2842.9s] 是不是一个死鬼的样子
[2847.9s-2848.5s] ok
[2848.5s-2849.8s] 那你们自己去体会
[2849.8s-2850.5s] 这就体会
[2850.5s-2853.0s] 这种垃圾行情里面的就是这样子
[2853.8s-2854.5s] 就是这样子的
[2854.5s-2855.8s] 那你们自己看
[2856.1s-2857.1s] 仓卫反正我说过了
[2857.1s-2858.0s] 三层仓卫以内
[2858.0s-2860.4s] 接下来三层仓卫以内可能要磨满久的
[2860.8s-2862.3s] 除非短线出行情
[2862.3s-2864.2s] 然后第三个被挫杀的就是超短
[2864.2s-2865.7s] 来超短给大家看一下
[2867.2s-2868.7s] 超短是否是被挫杀的
[2868.7s-2869.7s] 明天很重要
[2870.3s-2872.9s] 超短里面现在有两个风向标
[2873.3s-2875.1s] 现在明天应该有三个风向标
[2875.1s-2875.7s] 第一
[2876.3s-2879.2s] 被关进去的那个哥们要放出来了
[2880.5s-2881.5s] 大普同学
[2881.8s-2882.5s] 第二
[2883.0s-2885.3s] 今天最高板尾盘炸掉了
[2885.3s-2886.8s] 但是尾盘有资金抢筹
[2886.8s-2888.0s] 抢到了9点多个点
[2888.3s-2890.8s] 明天他的反馈很重要
[2891.0s-2891.7s] 第三
[2892.2s-2893.5s] 有个刺高标
[2893.9s-2895.6s] 也是股权涨药的刺高标
[2895.6s-2896.9s] 尾盘是回风了
